 3600 16824
 1 1 1.000000000000000
 2 2 1.000000000000000
 3 3 1.000000000000000
 4 4 1.000000000000000
 5 5 1.000000000000000
 6 6 1.000000000000000
 7 7 1.000000000000000
 8 8 1.000000000000000
 9 9 1.000000000000000
 10 10 1.000000000000000
 11 11 1.000000000000000
 12 12 1.000000000000000
 13 13 1.000000000000000
 14 14 1.000000000000000
 15 15 1.000000000000000
 16 16 1.000000000000000
 17 17 1.000000000000000
 18 18 1.000000000000000
 19 19 1.000000000000000
 20 20 1.000000000000000
 21 21 1.000000000000000
 22 22 1.000000000000000
 23 23 1.000000000000000
 24 24 1.000000000000000
 25 25 1.000000000000000
 26 26 1.000000000000000
 27 27 1.000000000000000
 28 28 1.000000000000000
 29 29 1.000000000000000
 30 30 1.000000000000000
 31 31 1.000000000000000
 32 32 1.000000000000000
 33 33 1.000000000000000
 34 34 1.000000000000000
 35 35 1.000000000000000
 36 36 1.000000000000000
 37 37 1.000000000000000
 38 38 1.000000000000000
 39 39 1.000000000000000
 40 40 1.000000000000000
 41 41 1.000000000000000
 42 42 1.000000000000000
 43 43 1.000000000000000
 44 44 1.000000000000000
 45 45 1.000000000000000
 46 46 1.000000000000000
 47 47 1.000000000000000
 48 48 1.000000000000000
 49 49 1.000000000000000
 50 50 1.000000000000000
 51 51 1.000000000000000
 52 52 1.000000000000000
 53 53 1.000000000000000
 54 54 1.000000000000000
 55 55 1.000000000000000
 56 56 1.000000000000000
 57 57 1.000000000000000
 58 58 1.000000000000000
 59 59 1.000000000000000
 60 60 1.000000000000000
 61 61 1.000000000000000
 62 62 13924.00000000000
 62 63 -3481.000000000000
 62 122 -3481.000000000000
 63 62 -3481.000000000000
 63 63 13924.00000000000
 63 64 -3481.000000000000
 63 123 -3481.000000000000
 64 63 -3481.000000000000
 64 64 13924.00000000000
 64 65 -3481.000000000000
 64 124 -3481.000000000000
 65 64 -3481.000000000000
 65 65 13924.00000000000
 65 66 -3481.000000000000
 65 125 -3481.000000000000
 66 65 -3481.000000000000
 66 66 13924.00000000000
 66 67 -3481.000000000000
 66 126 -3481.000000000000
 67 66 -3481.000000000000
 67 67 13924.00000000000
 67 68 -3481.000000000000
 67 127 -3481.000000000000
 68 67 -3481.000000000000
 68 68 13924.00000000000
 68 69 -3481.000000000000
 68 128 -3481.000000000000
 69 68 -3481.000000000000
 69 69 13924.00000000000
 69 70 -3481.000000000000
 69 129 -3481.000000000000
 70 69 -3481.000000000000
 70 70 13924.00000000000
 70 71 -3481.000000000000
 70 130 -3481.000000000000
 71 70 -3481.000000000000
 71 71 13924.00000000000
 71 72 -3481.000000000000
 71 131 -3481.000000000000
 72 71 -3481.000000000000
 72 72 13924.00000000000
 72 73 -3481.000000000000
 72 132 -3481.000000000000
 73 72 -3481.000000000000
 73 73 13924.00000000000
 73 74 -3481.000000000000
 73 133 -3481.000000000000
 74 73 -3481.000000000000
 74 74 13924.00000000000
 74 75 -3481.000000000000
 74 134 -3481.000000000000
 75 74 -3481.000000000000
 75 75 13924.00000000000
 75 76 -3481.000000000000
 75 135 -3481.000000000000
 76 75 -3481.000000000000
 76 76 13924.00000000000
 76 77 -3481.000000000000
 76 136 -3481.000000000000
 77 76 -3481.000000000000
 77 77 13924.00000000000
 77 78 -3481.000000000000
 77 137 -3481.000000000000
 78 77 -3481.000000000000
 78 78 13924.00000000000
 78 79 -3481.000000000000
 78 138 -3481.000000000000
 79 78 -3481.000000000000
 79 79 13924.00000000000
 79 80 -3481.000000000000
 79 139 -3481.000000000000
 80 79 -3481.000000000000
 80 80 13924.00000000000
 80 81 -3481.000000000000
 80 140 -3481.000000000000
 81 80 -3481.000000000000
 81 81 13924.00000000000
 81 82 -3481.000000000000
 81 141 -3481.000000000000
 82 81 -3481.000000000000
 82 82 13924.00000000000
 82 83 -3481.000000000000
 82 142 -3481.000000000000
 83 82 -3481.000000000000
 83 83 13924.00000000000
 83 84 -3481.000000000000
 83 143 -3481.000000000000
 84 83 -3481.000000000000
 84 84 13924.00000000000
 84 85 -3481.000000000000
 84 144 -3481.000000000000
 85 84 -3481.000000000000
 85 85 13924.00000000000
 85 86 -3481.000000000000
 85 145 -3481.000000000000
 86 85 -3481.000000000000
 86 86 13924.00000000000
 86 87 -3481.000000000000
 86 146 -3481.000000000000
 87 86 -3481.000000000000
 87 87 13924.00000000000
 87 88 -3481.000000000000
 87 147 -3481.000000000000
 88 87 -3481.000000000000
 88 88 13924.00000000000
 88 89 -3481.000000000000
 88 148 -3481.000000000000
 89 88 -3481.000000000000
 89 89 13924.00000000000
 89 90 -3481.000000000000
 89 149 -3481.000000000000
 90 89 -3481.000000000000
 90 90 13924.00000000000
 90 91 -3481.000000000000
 90 150 -3481.000000000000
 91 90 -3481.000000000000
 91 91 13924.00000000000
 91 92 -3481.000000000000
 91 151 -3481.000000000000
 92 91 -3481.000000000000
 92 92 13924.00000000000
 92 93 -3481.000000000000
 92 152 -3481.000000000000
 93 92 -3481.000000000000
 93 93 13924.00000000000
 93 94 -3481.000000000000
 93 153 -3481.000000000000
 94 93 -3481.000000000000
 94 94 13924.00000000000
 94 95 -3481.000000000000
 94 154 -3481.000000000000
 95 94 -3481.000000000000
 95 95 13924.00000000000
 95 96 -3481.000000000000
 95 155 -3481.000000000000
 96 95 -3481.000000000000
 96 96 13924.00000000000
 96 97 -3481.000000000000
 96 156 -3481.000000000000
 97 96 -3481.000000000000
 97 97 13924.00000000000
 97 98 -3481.000000000000
 97 157 -3481.000000000000
 98 97 -3481.000000000000
 98 98 13924.00000000000
 98 99 -3481.000000000000
 98 158 -3481.000000000000
 99 98 -3481.000000000000
 99 99 13924.00000000000
 99 100 -3481.000000000000
 99 159 -3481.000000000000
 100 99 -3481.000000000000
 100 100 13924.00000000000
 100 101 -3481.000000000000
 100 160 -3481.000000000000
 101 100 -3481.000000000000
 101 101 13924.00000000000
 101 102 -3481.000000000000
 101 161 -3481.000000000000
 102 101 -3481.000000000000
 102 102 13924.00000000000
 102 103 -3481.000000000000
 102 162 -3481.000000000000
 103 102 -3481.000000000000
 103 103 13924.00000000000
 103 104 -3481.000000000000
 103 163 -3481.000000000000
 104 103 -3481.000000000000
 104 104 13924.00000000000
 104 105 -3481.000000000000
 104 164 -3481.000000000000
 105 104 -3481.000000000000
 105 105 13924.00000000000
 105 106 -3481.000000000000
 105 165 -3481.000000000000
 106 105 -3481.000000000000
 106 106 13924.00000000000
 106 107 -3481.000000000000
 106 166 -3481.000000000000
 107 106 -3481.000000000000
 107 107 13924.00000000000
 107 108 -3481.000000000000
 107 167 -3481.000000000000
 108 107 -3481.000000000000
 108 108 13924.00000000000
 108 109 -3481.000000000000
 108 168 -3481.000000000000
 109 108 -3481.000000000000
 109 109 13924.00000000000
 109 110 -3481.000000000000
 109 169 -3481.000000000000
 110 109 -3481.000000000000
 110 110 13924.00000000000
 110 111 -3481.000000000000
 110 170 -3481.000000000000
 111 110 -3481.000000000000
 111 111 13924.00000000000
 111 112 -3481.000000000000
 111 171 -3481.000000000000
 112 111 -3481.000000000000
 112 112 13924.00000000000
 112 113 -3481.000000000000
 112 172 -3481.000000000000
 113 112 -3481.000000000000
 113 113 13924.00000000000
 113 114 -3481.000000000000
 113 173 -3481.000000000000
 114 113 -3481.000000000000
 114 114 13924.00000000000
 114 115 -3481.000000000000
 114 174 -3481.000000000000
 115 114 -3481.000000000000
 115 115 13924.00000000000
 115 116 -3481.000000000000
 115 175 -3481.000000000000
 116 115 -3481.000000000000
