 900 3924
 1 1 1.000000000000000
 2 2 1.000000000000000
 3 3 1.000000000000000
 4 4 1.000000000000000
 5 5 1.000000000000000
 6 6 1.000000000000000
 7 7 1.000000000000000
 8 8 1.000000000000000
 9 9 1.000000000000000
 10 10 1.000000000000000
 11 11 1.000000000000000
 12 12 1.000000000000000
 13 13 1.000000000000000
 14 14 1.000000000000000
 15 15 1.000000000000000
 16 16 1.000000000000000
 17 17 1.000000000000000
 18 18 1.000000000000000
 19 19 1.000000000000000
 20 20 1.000000000000000
 21 21 1.000000000000000
 22 22 1.000000000000000
 23 23 1.000000000000000
 24 24 1.000000000000000
 25 25 1.000000000000000
 26 26 1.000000000000000
 27 27 1.000000000000000
 28 28 1.000000000000000
 29 29 1.000000000000000
 30 30 1.000000000000000
 31 31 1.000000000000000
 32 32 3364.000000000000
 32 33 -841.0000000000000
 32 62 -841.0000000000000
 33 32 -841.0000000000000
 33 33 3364.000000000000
 33 34 -841.0000000000000
 33 63 -841.0000000000000
 34 33 -841.0000000000000
 34 34 3364.000000000000
 34 35 -841.0000000000000
 34 64 -841.0000000000000
 35 34 -841.0000000000000
 35 35 3364.000000000000
 35 36 -841.0000000000000
 35 65 -841.0000000000000
 36 35 -841.0000000000000
 36 36 3364.000000000000
 36 37 -841.0000000000000
 36 66 -841.0000000000000
 37 36 -841.0000000000000
 37 37 3364.000000000000
 37 38 -841.0000000000000
 37 67 -841.0000000000000
 38 37 -841.0000000000000
 38 38 3364.000000000000
 38 39 -841.0000000000000
 38 68 -841.0000000000000
 39 38 -841.0000000000000
 39 39 3364.000000000000
 39 40 -841.0000000000000
 39 69 -841.0000000000000
 40 39 -841.0000000000000
 40 40 3364.000000000000
 40 41 -841.0000000000000
 40 70 -841.0000000000000
 41 40 -841.0000000000000
 41 41 3364.000000000000
 41 42 -841.0000000000000
 41 71 -841.0000000000000
 42 41 -841.0000000000000
 42 42 3364.000000000000
 42 43 -841.0000000000000
 42 72 -841.0000000000000
 43 42 -841.0000000000000
 43 43 3364.000000000000
 43 44 -841.0000000000000
 43 73 -841.0000000000000
 44 43 -841.0000000000000
 44 44 3364.000000000000
 44 45 -841.0000000000000
 44 74 -841.0000000000000
 45 44 -841.0000000000000
 45 45 3364.000000000000
 45 46 -841.0000000000000
 45 75 -841.0000000000000
 46 45 -841.0000000000000
 46 46 3364.000000000000
 46 47 -841.0000000000000
 46 76 -841.0000000000000
 47 46 -841.0000000000000
 47 47 3364.000000000000
 47 48 -841.0000000000000
 47 77 -841.0000000000000
 48 47 -841.0000000000000
 48 48 3364.000000000000
 48 49 -841.0000000000000
 48 78 -841.0000000000000
 49 48 -841.0000000000000
 49 49 3364.000000000000
 49 50 -841.0000000000000
 49 79 -841.0000000000000
 50 49 -841.0000000000000
 50 50 3364.000000000000
 50 51 -841.0000000000000
 50 80 -841.0000000000000
 51 50 -841.0000000000000
 51 51 3364.000000000000
 51 52 -841.0000000000000
 51 81 -841.0000000000000
 52 51 -841.0000000000000
 52 52 3364.000000000000
 52 53 -841.0000000000000
 52 82 -841.0000000000000
 53 52 -841.0000000000000
 53 53 3364.000000000000
 53 54 -841.0000000000000
 53 83 -841.0000000000000
 54 53 -841.0000000000000
 54 54 3364.000000000000
 54 55 -841.0000000000000
 54 84 -841.0000000000000
 55 54 -841.0000000000000
 55 55 3364.000000000000
 55 56 -841.0000000000000
 55 85 -841.0000000000000
 56 55 -841.0000000000000
 56 56 3364.000000000000
 56 57 -841.0000000000000
 56 86 -841.0000000000000
 57 56 -841.0000000000000
 57 57 3364.000000000000
 57 58 -841.0000000000000
 57 87 -841.0000000000000
 58 57 -841.0000000000000
 58 58 3364.000000000000
 58 59 -841.0000000000000
 58 88 -841.0000000000000
 59 58 -841.0000000000000
 59 59 3364.000000000000
 59 89 -841.0000000000000
 60 60 1.000000000000000
 61 61 1.000000000000000
 62 32 -841.0000000000000
 62 62 3364.000000000000
 62 63 -841.0000000000000
 62 92 -841.0000000000000
 63 33 -841.0000000000000
 63 62 -841.0000000000000
 63 63 3364.000000000000
 63 64 -841.0000000000000
 63 93 -841.0000000000000
 64 34 -841.0000000000000
 64 63 -841.0000000000000
 64 64 3364.000000000000
 64 65 -841.0000000000000
 64 94 -841.0000000000000
 65 35 -841.0000000000000
 65 64 -841.0000000000000
 65 65 3364.000000000000
 65 66 -841.0000000000000
 65 95 -841.0000000000000
 66 36 -841.0000000000000
 66 65 -841.0000000000000
 66 66 3364.000000000000
 66 67 -841.0000000000000
 66 96 -841.0000000000000
 67 37 -841.0000000000000
 67 66 -841.0000000000000
 67 67 3364.000000000000
 67 68 -841.0000000000000
 67 97 -841.0000000000000
 68 38 -841.0000000000000
 68 67 -841.0000000000000
 68 68 3364.000000000000
 68 69 -841.0000000000000
 68 98 -841.0000000000000
 69 39 -841.0000000000000
 69 68 -841.0000000000000
 69 69 3364.000000000000
 69 70 -841.0000000000000
 69 99 -841.0000000000000
 70 40 -841.0000000000000
 70 69 -841.0000000000000
 70 70 3364.000000000000
 70 71 -841.0000000000000
 70 100 -841.0000000000000
 71 41 -841.0000000000000
 71 70 -841.0000000000000
 71 71 3364.000000000000
 71 72 -841.0000000000000
 71 101 -841.0000000000000
 72 42 -841.0000000000000
 72 71 -841.0000000000000
 72 72 3364.000000000000
 72 73 -841.0000000000000
 72 102 -841.0000000000000
 73 43 -841.0000000000000
 73 72 -841.0000000000000
 73 73 3364.000000000000
 73 74 -841.0000000000000
 73 103 -841.0000000000000
 74 44 -841.0000000000000
 74 73 -841.0000000000000
 74 74 3364.000000000000
 74 75 -841.0000000000000
 74 104 -841.0000000000000
 75 45 -841.0000000000000
 75 74 -841.0000000000000
 75 75 3364.000000000000
 75 76 -841.0000000000000
 75 105 -841.0000000000000
 76 46 -841.0000000000000
 76 75 -841.0000000000000
 76 76 3364.000000000000
 76 77 -841.0000000000000
 76 106 -841.0000000000000
 77 47 -841.0000000000000
 77 76 -841.0000000000000
 77 77 3364.000000000000
 77 78 -841.0000000000000
 77 107 -841.0000000000000
 78 48 -841.0000000000000
 78 77 -841.0000000000000
 78 78 3364.000000000000
 78 79 -841.0000000000000
 78 108 -841.0000000000000
 79 49 -841.0000000000000
 79 78 -841.0000000000000
 79 79 3364.000000000000
 79 80 -841.0000000000000
 79 109 -841.0000000000000
 80 50 -841.0000000000000
 80 79 -841.0000000000000
 80 80 3364.000000000000
 80 81 -841.0000000000000
 80 110 -841.0000000000000
 81 51 -841.0000000000000
 81 80 -841.0000000000000
 81 81 3364.000000000000
 81 82 -841.0000000000000
 81 111 -841.0000000000000
 82 52 -841.0000000000000
 82 81 -841.0000000000000
 82 82 3364.000000000000
 82 83 -841.0000000000000
 82 112 -841.0000000000000
 83 53 -841.0000000000000
 83 82 -841.0000000000000
 83 83 3364.000000000000
 83 84 -841.0000000000000
 83 113 -841.0000000000000
 84 54 -841.0000000000000
 84 83 -841.0000000000000
 84 84 3364.000000000000
 84 85 -841.0000000000000
 84 114 -841.0000000000000
 85 55 -841.0000000000000
 85 84 -841.0000000000000
 85 85 3364.000000000000
 85 86 -841.0000000000000
 85 115 -841.0000000000000
 86 56 -841.0000000000000
 86 85 -841.0000000000000
 86 86 3364.000000000000
 86 87 -841.0000000000000
 86 116 -841.0000000000000
 87 57 -841.0000000000000
 87 86 -841.0000000000000
 87 87 3364.000000000000
 87 88 -841.0000000000000
 87 117 -841.0000000000000
 88 58 -841.0000000000000
 88 87 -841.0000000000000
 88 88 3364.000000000000
